name,type,x1,z1,x2,z2,trigger_dist_val
MS1,MINISECTOR,32557,7715,32583,7688,7
MS2,MINISECTOR,32684,7331,32692,7366,7
MS3,MINISECTOR,32464,7375,32502,7392,7
S1,SECTOR,32171,7260,32203,7245,7
MS5,MINISECTOR,32171,7360,32171,7400,7
MS6,MINISECTOR,31890,7480,31940,7480,7
MS7,MINISECTOR,32067,7580,32067,7630,7
S2,SECTOR,31875,7940,31893,7900,7
MS9,MINISECTOR,32000,8156,32050,8156,7
MS10,MINISECTOR,32070,7987,32120,7987,7
MS11,MINISECTOR,32255,7970,32282,7945,7
S3,SECTOR,32352.5,7886.5,32377.5,7886.5,5
